sample ID	forward sequence count	reverse sequence count
YUN3428.2	4490	4490
BAQ4166.1.2	4132	4132
YUN3533.3	4001	4001
BAQ4166.3	3972	3972
BAQ3473.3	3947	3947
BAQ4166.2	3925	3925
YUN3856.3	3909	3909
YUN3533.2	3790	3790
BAQ3473.1	3621	3621
YUN3428.3	3427	3427
BAQ4697.3	3427	3427
YUN3259.3	3342	3342
BAQ4166.1.1	3288	3288
BAQ4166.1.3	3275	3275
YUN3856.1.1	3213	3213
YUN3259.2	3170	3170
YUN3428.1	3138	3138
YUN3856.2	3121	3121
YUN3856.1.2	3056	3056
BAQ3473.2	3017	3017
YUN3533.1.1	2967	2967
YUN3533.1.2	2905	2905
BAQ2462.1	2884	2884
YUN1005.1.1	2871	2871
YUN2029.2	2821	2821
BAQ4697.1	2777	2777
BAQ2687.3	2747	2747
BAQ2687.1	2689	2689
BAQ4697.2	2557	2557
YUN3533.1.3	2475	2475
YUN3346.3	2414	2414
YUN1609.1	2342	2342
BAQ2420.1.1	2333	2333
YUN1242.3	2287	2287
YUN3856.1.3	2284	2284
BAQ2420.1.2	2210	2210
YUN3259.1.2	2151	2151
BAQ2687.2	2093	2093
YUN3346.1	2077	2077
BAQ2420.3	2049	2049
BAQ2420.2	2044	2044
BAQ2420.1.3	1929	1929
BAQ2462.2	1903	1903
BAQ2838.1	1896	1896
YUN3153.3	1803	1803
YUN1242.1	1764	1764
BAQ2838.2	1743	1743
BAQ2462.3	1560	1560
YUN3153.2	1438	1438
YUN1005.3	1280	1280
BAQ2838.3	1174	1174
YUN3259.1.3	882	882
YUN3346.2	606	606
YUN3259.1.1	205	205
YUN1242.2	32	32
YUN2029.1	32	32
BAQ1552.1.1	18	18
BAQ1370.1.3	18	18
YUN3008.1.3	17	17
BAQ895.2	15	15
YUN3008.3	13	13
YUN3153.1	11	11
YUN3184.2	10	10
YUN1005.1.3	9	9
YUN1005.2	7	7
YUN3008.1.1	7	7
BAQ1552.2	6	6
YUN1609.3	6	6
BAQ1370.1.2	6	6
YUN3184.1	3	3
YUN2029.3	3	3
YUN3008.1.2	3	3
BAQ895.3	1	1
YUN3008.2	1	1
BAQ1370.3	1	1
